<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
Сбербанк;D;2022-06-26;000000;137.76;137.76;137.76;137.76;0;0
Сбербанк;D;2022-06-27;000000;137.7;141.77;136.77;141.15;69963540;9812403018.2
Сбербанк;D;2022-06-28;000000;141.75;142.35;138.5;139.99;54863240;7675925017.5
Сбербанк;D;2022-06-29;000000;139.8;139.89;132.75;132.8;55164310;7517497903.8
Сбербанк;D;2022-06-30;000000;132.5;135.44;123.55;125.2;91499020;11774451572.6
Сбербанк;D;2022-07-01;000000;124.13;132;122.5;129.91;60628570;7809271635.9
Сбербанк;D;2022-07-02;000000;129.91;129.91;129.91;129.91;0;0
Сбербанк;D;2022-07-03;000000;129.91;129.91;129.91;129.91;0;0
Сбербанк;D;2022-07-04;000000;129;132.8;127.16;131.43;48006990;6244209442.1
Сбербанк;D;2022-07-05;000000;132;135.7;131.43;133.5;51662270;6901128618.2
Сбербанк;D;2022-07-06;000000;133.5;137.1;132.5;134;47075440;6371451571.2
Сбербанк;D;2022-07-07;000000;134;135.2;131.22;133.09;43059280;5736860567.7
Сбербанк;D;2022-07-08;000000;133.15;133.98;130.9;133.3;27635050;3656551234.1
Сбербанк;D;2022-07-09;000000;133.3;133.3;133.3;133.3;0;0
Сбербанк;D;2022-07-10;000000;133.3;133.3;133.3;133.3;0;0
Сбербанк;D;2022-07-11;000000;132.8;133.9;126.42;126.8;53725410;6951759089.7
Сбербанк;D;2022-07-12;000000;126.5;129.35;124.2;129;57254290;7276446907.2
Сбербанк;D;2022-07-13;000000;129.8;129.95;125.36;126;45932640;5838157717.2
Сбербанк;D;2022-07-14;000000;125.97;128;124.61;125.9;41704620;5273758237.4
Сбербанк;D;2022-07-15;000000;126.06;129.44;125.27;128.9;44954140;5725166716.2
Сбербанк;D;2022-07-16;000000;128.9;128.9;128.9;128.9;0;0
Сбербанк;D;2022-07-17;000000;128.9;128.9;128.9;128.9;0;0
Сбербанк;D;2022-07-18;000000;130;130.64;127.25;128.11;35478100;4560441171.4
Сбербанк;D;2022-07-19;000000;128;128.11;125.51;127.76;32381170;4101676311.8
Сбербанк;D;2022-07-20;000000;128.12;129.2;126.16;126.44;34762350;4450301742.2
Сбербанк;D;2022-07-21;000000;126.44;126.83;122.24;125.48;53633030;6674132987.5
Сбербанк;D;2022-07-22;000000;125.5;129.1;125.03;128.82;46478250;5934551084.8
Сбербанк;D;2022-07-23;000000;128.82;128.82;128.82;128.82;0;0
Сбербанк;D;2022-07-24;000000;128.82;128.82;128.82;128.82;0;0
Сбербанк;D;2022-07-25;000000;128.9;132;127.24;131.45;55990880;7278558481.8
Сбербанк;D;2022-07-26;000000;132.02;133.9;131;132.9;50351100;6674121413.4
Сбербанк;D;2022-07-27;000000;132.9;134.79;131.62;132.5;42526820;5666320132.8
Сбербанк;D;2022-07-28;000000;133.01;133.49;130.1;131.72;40102900;5270874128.5
Сбербанк;D;2022-07-29;000000;131.65;132.75;130.31;131.9;27788260;3657277546.3
Сбербанк;D;2022-07-30;000000;131.9;131.9;131.9;131.9;0;0
Сбербанк;D;2022-07-31;000000;131.9;131.9;131.9;131.9;0;0
Сбербанк;D;2022-08-01;000000;131.77;131.77;127.34;127.34;44322900;5733440411.9
Сбербанк;D;2022-08-02;000000;126.6;128.44;125.6;127.53;44006150;5597372358.7
Сбербанк;D;2022-08-03;000000;128.05;129.15;126.27;126.85;30948110;3954448973.2
Сбербанк;D;2022-08-04;000000;126.94;128.13;126.16;126.95;19560540;2486974528.6
Сбербанк;D;2022-08-05;000000;127.5;127.58;122.24;122.4;61176570;7580630330.2
Сбербанк;D;2022-08-06;000000;122.4;122.4;122.4;122.4;0;0
Сбербанк;D;2022-08-07;000000;122.4;122.4;122.4;122.4;0;0
Сбербанк;D;2022-08-08;000000;126.11;127.38;123.51;123.81;53664860;6717450630
Сбербанк;D;2022-08-09;000000;123.9;126.5;122.3;126.4;37919970;4714973255.6
Сбербанк;D;2022-08-10;000000;126.25;127.29;124.87;126.2;31939910;4026159269.7
Сбербанк;D;2022-08-11;000000;126.97;126.97;123.07;123.45;30949210;3873147168.4
Сбербанк;D;2022-08-12;000000;123.46;124.98;122.6;124.88;27223160;3377655734.9
Сбербанк;D;2022-08-13;000000;124.88;124.88;124.88;124.88;0;0
